t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.00355,0.0040649278,0.0636270642,0,0.0636270642,0.9959347844,0,0,0,0
0.0036,0.0041677258,0.0644232482,0,0.0644232482,0.9958321452,0,0,0,0
0.00365,0.0042750286,0.0652437881,0,0.0652437881,0.9957248569,0,0,0,0
0.0037,0.0043863258,0.066083923,0,0.066083923,0.9956133962,0,0,0,0
0.00375,0.0045017195,0.0669436604,0,0.0669436604,0.99549824,0,0,0,0
0.0038,0.0046206643,0.0678182393,0,0.0678182393,0.9953792095,0,0,0,0
0.00385,0.0047430187,0.0687060505,0,0.0687060505,0.995256722,0,0,0,0
0.0039,0.0048679747,0.0696008354,0,0.0696008354,0.995131731,0,0,0,0
0.00395,0.0049957898,0.0705041215,0,0.0705041215,0.9950041175,0,0,0,0
0.004,0.0051257168,0.0714103878,0,0.0714103878,0.994874239,0,0,0,0
0.00405,0.0052574272,0.072317265,0,0.072317265,0.9947425127,0,0,0,0
0.0041,0.0053910385,0.0732254982,0,0.0732254982,0.9946087599,0,0,0,0
0.00415,0.005525975,0.0741312206,0,0.0741312206,0.9944739342,0,0,0,0
0.0042,0.0056623407,0.0750351772,0,0.0750351772,0.9943376184,0,0,0,0
0.00425,0.0057998812,0.0759357736,0,0.0759357736,0.9941999912,0,0,0,0
0.0043,0.0059392001,0.0768370107,0,0.0768370107,0.994060874,0,0,0,0
0.00435,0.0060801678,0.0777380094,0,0.0777380094,0.9939197302,0,0,0,0
0.0044,0.0062230402,0.0786404014,0,0.0786404014,0.9937768579,0,0,0,0
0.00445,0.0063682068,0.079546541,0,0.079546541,0.9936316609,0,0,0,0
0.0045,0.006516201,0.08045955,0,0.08045955,0.9934837222,0,0,0,0
0.00455,0.0066675832,0.0813825876,0,0.0813825876,0.9933323264,0,0,0,0
0.0046,0.0068226745,0.0823172256,0,0.0823172256,0.9931772947,0,0,0,0
0.00465,0.0069814092,0.0832626447,0,0.0832626447,0.9930184484,0,0,0,0
0.0047,0.0071449261,0.0842251554,0,0.0842251554,0.9928551316,0,0,0,0
0.00475,0.0073134601,0.0852054656,0,0.0852054656,0.9926863313,0,0,0,0
0.0048,0.0074867113,0.0862012729,0,0.0862012729,0.9925131798,0,0,0,0
0.00485,0.0076658842,0.0872187987,0,0.0872187987,0.9923340678,0,0,0,0
0.0049,0.0078497119,0.0882501677,0,0.0882501677,0.9921500087,0,0,0,0
0.00495,0.0080392836,0.0893009156,0,0.0893009156,0.9919606447,0,0,0,0
0.005,0.0082338592,0.0903662667,0,0.0903662667,0.9917660952,0,0,0,0
0.00505,0.0084330989,0.0914438665,0,0.0914438665,0.9915667772,0,0,0,0
0.0051,0.0086369319,0.0925328806,0,0.0925328806,0.9913629293,0,0,0,0
0.00515,0.0088449931,0.0936309695,0,0.0936309695,0.9911549091,0,0,0,0
0.0052,0.0090562887,0.0947326347,0,0.0947326347,0.9909436703,0,0,0,0
0.00525,0.0092706895,0.0958370641,0,0.0958370641,0.9907292128,0,0,0,0
0.0053,0.0094871363,0.0969387963,0,0.0969387963,0.9905127883,0,0,0,0
0.00535,0.0097051412,0.0980354548,0,0.0980354548,0.9902947545,0,0,0,0
0.0054,0.0099245124,0.0991262645,0,0.0991262645,0.9900754094,0,0,0,0
0.00545,0.0101442505,0.1002064943,0,0.1002064943,0.9898555279,0,0,0,0
0.0055,0.0103633273,0.1012715548,0,0.1012715548,0.9896366,0,0,0,0
0.00555,0.0105822897,0.1023245007,0,0.1023245007,0.9894175529,0,0,0,0
0.0056,0.0108000739,0.1033606902,0,0.1033606902,0.989199996,0,0,0,0
0.00565,0.011017059,0.1043823734,0,0.1043823734,0.9889826775,0,0,0,0
0.0057,0.0112326751,0.1053873897,0,0.1053873897,0.9887672663,0,0,0,0
0.00575,0.0114469687,0.1063763723,0,0.1063763723,0.9885527492,0,0,0,0
0.0058,0.011660208,0.1073510423,0,0.1073510423,0.9883396626,0,0,0,0
0.00585,0.0118721267,0.1083105579,0,0.1083105579,0.988127768,0,0,0,0
0.0059,0.0120836766,0.109259598,0,0.109259598,0.9879162312,0,0,0,0
0.00595,0.0122951549,0.110199742,0,0.110199742,0.9877047539,0,0,0,0
0.006,0.0125066927,0.1111317873,0,0.1111317873,0.9874931574,0,0,0,0
0.00605,0.0127187865,0.1120581031,0,0.1120581031,0.9872811437,0,0,0,0
0.0061,0.012932294,0.1129825041,0,0.1129825041,0.987067461,0,0,0,0
0.00615,0.0131475823,0.1139066294,0,0.1139066294,0.986852169,0,0,0,0
0.0062,0.0133651942,0.1148327664,0,0.1148327664,0.9866347313,0,0,0,0
0.00625,0.0135849686,0.1157601699,0,0.1157601699,0.986414969,0,0,0,0
0.0063,0.0138076525,0.1166919023,0,0.1166919023,0.986192286,0,0,0,0
0.00635,0.0140334601,0.1176287383,0,0.1176287383,0.985966444,0,0,0,0
0.0064,0.0142616807,0.1185676306,0,0.1185676306,0.9857380986,0,0,0,0
0.00645,0.0144932633,0.1195123643,0,0.1195123643,0.9855065346,0,0,0,0
0.0065,0.0147276772,0.1204606518,0,0.1204606518,0.9852721095,0,0,0,0
0.00655,0.0149641717,0.1214093938,0,0.1214093938,0.9850355387,0,0,0,0
0.0066,0.0152027486,0.1223585904,0,0.1223585904,0.9847971797,0,0,0,0
0.00665,0.0154430084,0.1233066171,0,0.1233066171,0.9845569134,0,0,0,0
0.0067,0.0156843513,0.124251157,0,0.124251157,0.9843155146,0,0,0,0
0.00675,0.0159259755,0.1251892,0,0.1251892,0.9840738773,0,0,0,0
0.0068,0.0161682256,0.1261222064,0,0.1261222064,0.9838317037,0,0,0,0
0.00685,0.0164096579,0.1270447969,0,0.1270447969,0.9835904241,0,0,0,0
0.0069,0.0166502073,0.1279569268,0,0.1279569268,0.9833497405,0,0,0,0
0.00695,0.0168900248,0.1288594157,0,0.1288594157,0.9831098914,0,0,0,0
0.007,0.0171284433,0.1297499835,0,0.1297499835,0.9828714728,0,0,0,0
0.00705,0.0173645541,0.1306255013,0,0.1306255013,0.9826351404,0,0,0,0
0.0071,0.0175997522,0.1314914376,0,0.1314914376,0.9824001193,0,0,0,0
0.00715,0.0178335663,0.1323462427,0,0.1323462427,0.9821662903,0,0,0,0
0.0072,0.0180659257,0.1331898868,0,0.1331898868,0.981934011,0,0,0,0
0.00725,0.0182978436,0.1340262294,0,0.1340262294,0.9817020297,0,0,0,0
0.0073,0.0185295083,0.134856075,0,0.134856075,0.9814702272,0,0,0,0
0.00735,0.0187609065,0.1356795281,0,0.1356795281,0.9812389612,0,0,0,0
