0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.476584022038574140e-02,9.798384402244601776e-02,2.972917279934721435e-01,1.741283979336719662e-05,2.972917279934721435e-01,9.020156553005765909e-01,5.301208184749418200e-05,1.741283979336719662e-05,5.301208184749418200e-05,5.006769774546676454e-07
1.895316804407711220e-01,2.802012875106055234e-01,4.490710649978175706e-01,2.841090690915365285e-04,4.490710649978175706e-01,7.197848252932849134e-01,4.690968060660794534e-04,2.841090690915365285e-04,4.690968060660794534e-04,1.388719610947382511e-05
2.842975206611563221e-01,4.293796278142806844e-01,4.947055326958527677e-01,1.428049883427719190e-04,4.947055326958527677e-01,5.705492402205295521e-01,2.338097994632170327e-04,1.428049883427719190e-04,2.338097994632170327e-04,7.113196518966097704e-05
3.790633608815415223e-01,5.367961775659559898e-01,4.981787386245415394e-01,-2.577973889842850343e-04,4.981787386245415394e-01,4.630398897841224715e-01,-1.393072398087548305e-04,-2.577973889842850343e-04,-1.393072398087548305e-04,1.639326499217583265e-04
4.738292011019267225e-01,6.140490235192295199e-01,4.863320572303264089e-01,-6.526374972806432782e-05,4.863320572303264089e-01,3.856909501852794353e-01,5.212360572004144166e-05,-6.526374972806432782e-05,5.212360572004144166e-05,2.600262954912177103e-04
5.685950413223136435e-01,6.682406776038088969e-01,4.701814646698035394e-01,3.207757628398039975e-04,4.701814646698035394e-01,3.313549632741590312e-01,3.705906482031723044e-04,3.207757628398039975e-04,3.705906482031723044e-04,4.043591220318740491e-04
6.633608815427012306e-01,7.071984112946658740e-01,4.542864409127361225e-01,6.545755932593370690e-04,4.542864409127361225e-01,2.923350883102718845e-01,5.730789910877466791e-04,6.545755932593370690e-04,5.730789910877466791e-04,4.665003950620616327e-04
7.581267217630888178e-01,7.378913133429917393e-01,4.388971785949721816e-01,7.091206314668813213e-04,4.388971785949721816e-01,2.615421848160219276e-01,5.985033203571070654e-04,7.091206314668813213e-04,5.985033203571070654e-04,5.665018409862854556e-04
8.528925619834764049e-01,7.618359844861728458e-01,4.249229876608354717e-01,1.440351126568692897e-03,4.249229876608354717e-01,2.374657999943695363e-01,1.000114999235793582e-03,1.440351126568692897e-03,1.000114999235793582e-03,6.982155194575681827e-04
9.476584022038639921e-01,7.811173157643541698e-01,4.124377203584828067e-01,1.155880207859876201e-03,4.124377203584828067e-01,2.181065287393272600e-01,7.868658885896028139e-04,1.155880207859876201e-03,7.868658885896028139e-04,7.761554963186784823e-04
